"death","pm10median","o3median","so2median","time","tmpd","lag_pm10median","lag_o3median","lag_so2median","lag_tmpd"
130,-7.433544304,-19.59233786,1.9280425967,-2556.5,31.5,NA,NA,NA,NA
150,NA,-19.03861366,-0.985563116,-2555.5,33,NA,NA,NA,NA
101,-0.826530612,-20.21733786,-1.891416086,-2554.5,33,NA,NA,NA,NA
135,5.5664556962,-19.6756712,6.1393412739,-2553.5,29,NA,NA,NA,NA
126,NA,-19.21733786,2.2784648713,-2552.5,32,NA,NA,NA,NA
130,6.5664556962,-17.63400453,9.8585839137,-2551.5,40,NA,NA,NA,NA
129,-0.433544304,-15.37439797,-5.818992059,-2550.5,34.5,NA,-18.6785287057143,1.64406591351429,33.2857142857143
109,-5.433544304,-12.17052725,-5.107941432,-2549.5,29,NA,-17.6182700471429,0.638925337985715,32.9285714285714
125,-0.571428571,-20.09233786,0.1822373332,-2548.5,26.5,NA,-17.7688020757143,0.805753973585714,32
153,NA,-18.58028032,-2.046929333,-2547.5,32.5,NA,-17.5349367128571,0.783537795442857,31.9285714285714
124,-19.4335443,-5.712193917,-1.60099878,-2546.5,29.5,NA,-15.5401542438571,-0.3222250694,32
111,-15.4335443,-15.62886058,2.937930625,-2545.5,34.5,NA,-15.0275146324286,-0.228015676014286,32.3571428571429
104,11.566455696,-17.04552725,3.6418000592,-2544.5,34,NA,-14.9434464495714,-1.11612765522857,31.5
118,1.5664556962,-18.62886058,6.1834667259,-2543.5,37.5,NA,-15.4083696795714,0.598509314042857,31.9285714285714
109,-7.256018217,-18.71219392,-1.141416086,-2542.5,32.5,NA,-16.3428934895714,1.16515579204286,32.4285714285714
125,-22.4335443,-15.00386058,-3.153813391,-2541.5,25,NA,-15.6159681638571,0.688577117157143,32.2142857142857
128,NA,-17.37886058,1.8072373332,-2540.5,27,NA,-15.4443367724286,1.23917235518571,31.4285714285714
141,-2.433544304,-17.00386058,0.5626919865,-2539.5,17.5,NA,-17.05743201,1.54827103611429,29.7142857142857
130,-9.433544304,-7.63400453,-0.718613289,-2538.5,23,NA,-15.9153097171429,1.02590761982857,28.0714285714286
133,-3.433544304,-18.41361366,0.6816042276,-2537.5,20.5,NA,-16.1107506328571,0.603022501028571,26.1428571428571
115,-4.172413793,-16.9933238,3.6534648713,-2536.5,22,NA,-15.8771025214286,0.241593664657143,23.9285714285714
121,10.566455696,-12.62886058,-1.268914807,-2535.5,19.5,NA,-15.0080549014286,0.223379561657143,22.0714285714286
107,13.566455696,-7.925671197,-2.268914807,-2534.5,2.5,NA,-13.9968849895714,0.349793645085714,18.8571428571429
123,-3.433544304,-12.25900453,-1.72474942,-2533.5,2,0.175188626142857,-13.2654769824286,-0.154775891085714,15.2857142857143
107,NA,-15.79552725,-0.804868462,-2532.5,9.5,NA,-13.0928579352857,-0.350141669442857,14.1428571428571
116,29.566455696,-18.75900453,0.7226746072,-2531.5,16,NA,-14.6821436495714,-0.144243398557143,13.1428571428571
